t,cmd_swing,cmd_boom,cmd_arm,cmd_bucket,fk_x,fk_y,fk_z
0.0000,0.380506,-0.687669,1.384526,-1.296858,4.3114,1.7245,0.4824
0.0000,0.374087,-0.698317,1.405956,-1.307639,4.2936,1.6855,0.4784
0.0200,0.367532,-0.708694,1.426847,-1.318153,4.2760,1.6464,0.4745
0.0400,0.360837,-0.718806,1.447212,-1.328406,4.2588,1.6071,0.4708
0.0600,0.353997,-0.728659,1.467062,-1.338403,4.2418,1.5676,0.4672
0.0830,0.347010,-0.738257,1.486407,-1.348149,4.2251,1.5280,0.4637
0.1000,0.339870,-0.747606,1.505255,-1.357649,4.2088,1.4882,0.4603
0.1200,0.332574,-0.756707,1.523614,-1.366907,4.1928,1.4482,0.4571
0.1400,0.325118,-0.765565,1.541489,-1.375924,4.1771,1.4080,0.4540
0.1600,0.317495,-0.774181,1.558886,-1.384705,4.1617,1.3676,0.4510
0.1800,0.309703,-0.782558,1.575808,-1.393250,4.1467,1.3269,0.4482
0.2010,0.301736,-0.790697,1.592258,-1.401561,4.1320,1.2860,0.4454
0.2200,0.293589,-0.798598,1.608238,-1.409640,4.1177,1.2449,0.4427
0.2400,0.285257,-0.806262,1.623748,-1.417486,4.1037,1.2034,0.4402
0.2680,0.276736,-0.813690,1.638790,-1.425100,4.0902,1.1617,0.4378
0.2800,0.268019,-0.820880,1.653362,-1.432483,4.0770,1.1197,0.4355
0.3000,0.259102,-0.827832,1.667464,-1.439632,4.0643,1.0773,0.4332
0.3200,0.249979,-0.834545,1.681094,-1.446548,4.0519,1.0345,0.4311
0.3400,0.240643,-0.841018,1.694248,-1.453230,4.0399,0.9914,0.4291
0.3600,0.231091,-0.847249,1.706924,-1.459675,4.0284,0.9479,0.4272
0.3800,0.231091,-0.847249,1.706924,-1.459675,4.0284,0.9479,0.4272
0.4000,0.220647,-0.851726,1.716040,-1.464314,4.0230,0.9024,0.4259
0.4200,0.210023,-0.856039,1.724830,-1.468792,4.0178,0.8565,0.4246
0.4400,0.199215,-0.860187,1.733294,-1.473107,4.0126,0.8101,0.4234
0.4600,0.188222,-0.864172,1.741433,-1.477261,4.0076,0.7634,0.4222
0.4800,0.177041,-0.867994,1.749249,-1.481255,4.0027,0.7161,0.4211
0.5000,0.165670,-0.871655,1.756743,-1.485088,3.9978,0.6684,0.4201
0.5200,0.154108,-0.875154,1.763915,-1.488762,3.9930,0.6203,0.4191
0.5400,0.142353,-0.878492,1.770769,-1.492277,3.9883,0.5716,0.4182
0.5600,0.130403,-0.881672,1.777306,-1.495634,3.9835,0.5224,0.4173
0.5800,0.118258,-0.884694,1.783529,-1.498835,3.9788,0.4727,0.4165
0.6000,0.105914,-0.887559,1.789440,-1.500000,3.9757,0.4227,0.4165
0.6200,0.093373,-0.890270,1.795042,-1.500000,3.9734,0.3721,0.4169
0.6400,0.080633,-0.892827,1.800340,-1.500000,3.9709,0.3209,0.4173
0.6660,0.067693,-0.895233,1.805335,-1.500000,3.9682,0.2690,0.4177
0.6830,0.054553,-0.897491,1.810034,-1.500000,3.9653,0.2165,0.4181
0.7000,0.041214,-0.899602,1.814441,-1.500000,3.9620,0.1634,0.4186
0.7200,0.027675,-0.901571,1.818561,-1.500000,3.9584,0.1096,0.4190
0.7400,0.013936,-0.903398,1.822400,-1.500000,3.9545,0.0551,0.4194
0.7600,0.000000,-0.905089,1.825965,-1.500000,3.9502,0.0000,0.4198
0.7800,0.000000,-0.905089,1.825965,-1.500000,3.9502,0.0000,0.4198
0.8000,0.000000,-0.886755,1.825872,-1.500000,3.9723,0.0000,0.4776
0.8200,0.000000,-0.868387,1.825680,-1.500000,3.9934,0.0000,0.5357
0.8400,0.000000,-0.850000,1.825387,-1.500000,4.0136,0.0000,0.5942
